"Time","Mob BP1"
2022-02-21 07:00:03,160
2022-02-21 07:30:03,162
2022-02-21 08:00:03,161
2022-02-21 08:30:03,161
2022-02-21 08:45:03,176
2022-02-21 08:50:03,181
2022-02-21 08:55:03,187
2022-02-21 09:00:03,188
2022-02-21 09:10:03,182
2022-02-21 09:30:03,188
2022-02-21 09:40:03,173
2022-02-21 09:45:03,164
2022-02-21 10:00:03,161
2022-02-21 10:30:03,163
2022-02-21 11:00:03,162
2022-02-21 11:30:03,172
2022-02-21 11:40:03,180
2022-02-21 11:45:03,166
2022-02-21 12:00:03,163
2022-02-21 12:30:03,162
2022-02-21 13:00:03,162
2022-02-21 13:20:03,155
2022-02-21 13:30:03,161
2022-02-21 14:00:03,162
2022-02-21 14:30:03,161
2022-02-21 15:00:03,159
2022-02-21 15:30:03,160
2022-02-21 16:00:03,162
2022-02-21 16:30:03,161
2022-02-21 17:00:03,161
2022-02-21 17:30:03,161
2022-02-21 18:00:03,161
2022-02-21 18:30:03,161
2022-02-21 19:00:03,160
2022-02-21 19:30:03,161
2022-02-21 20:00:03,161
2022-02-21 20:30:03,161
2022-02-21 21:00:03,160
2022-02-21 21:30:03,160
2022-02-21 22:00:03,161
2022-02-21 22:30:03,160
2022-02-21 23:00:03,160
2022-02-21 23:30:03,159
2022-02-22 00:00:03,159
2022-02-22 00:30:03,159
2022-02-22 01:00:03,159
2022-02-22 01:30:03,159
2022-02-22 02:00:03,159
2022-02-22 02:30:03,159
2022-02-22 03:00:03,158
2022-02-22 03:30:03,159
2022-02-22 04:00:03,158
2022-02-22 04:30:03,158
2022-02-22 05:00:03,158
2022-02-22 05:30:03,158
2022-02-22 06:00:03,158
2022-02-22 06:30:03,157
2022-02-22 07:00:03,157
2022-02-22 07:30:03,158
2022-02-22 08:00:03,158
2022-02-22 08:30:03,158
2022-02-22 09:00:03,157
2022-02-22 09:30:03,161
2022-02-22 10:00:03,158
2022-02-22 10:30:03,158
2022-02-22 11:00:03,159
2022-02-22 11:30:03,159
2022-02-22 12:00:03,158
2022-02-22 12:30:03,158
2022-02-22 13:00:03,157
2022-02-22 13:30:03,156
2022-02-22 14:00:03,155
2022-02-22 14:30:03,155
2022-02-22 14:40:03,162
2022-02-22 14:50:03,156
2022-02-22 15:00:03,155
2022-02-22 15:30:03,131
2022-02-22 16:00:03,131
2022-02-22 16:30:03,131
2022-02-22 17:00:03,131
2022-02-22 17:30:03,131
2022-02-22 18:00:03,130
2022-02-22 18:30:03,130
2022-02-22 19:00:03,131
2022-02-22 19:30:03,131
2022-02-22 20:00:03,131
2022-02-22 20:30:03,130
2022-02-22 21:00:03,131
2022-02-22 21:30:03,131
2022-02-22 22:00:03,131
2022-02-22 22:30:03,131
2022-02-22 23:00:03,132
2022-02-22 23:30:03,132
2022-02-23 00:00:03,132
2022-02-23 00:30:03,133
2022-02-23 01:00:03,134
2022-02-23 01:30:03,134
2022-02-23 02:00:03,134
2022-02-23 02:30:03,133
2022-02-23 03:00:03,134
2022-02-23 03:30:03,134
2022-02-23 04:00:03,133
2022-02-23 04:30:03,133
2022-02-23 05:00:03,133
2022-02-23 05:30:03,132
2022-02-23 06:00:03,133
2022-02-23 06:30:03,132
2022-02-23 07:00:03,133
2022-02-23 07:30:03,132
2022-02-23 08:00:03,132
2022-02-23 08:30:03,132
2022-02-23 09:00:03,130
2022-02-23 09:30:03,132
2022-02-23 10:00:03,132
2022-02-23 10:30:03,133
2022-02-23 11:00:03,132
2022-02-23 11:10:03,124
2022-02-23 11:15:03,130
2022-02-23 11:30:03,132
2022-02-23 12:00:03,131
2022-02-23 12:30:03,133
2022-02-23 13:00:03,133
2022-02-23 13:30:03,133
2022-02-23 14:00:03,132
2022-02-23 14:30:03,133
2022-02-23 15:00:03,131
2022-02-23 15:30:03,133
2022-02-23 16:00:03,132
2022-02-23 16:10:03,126
2022-02-23 16:15:03,132
2022-02-23 16:30:03,134
2022-02-23 17:00:03,133
2022-02-23 17:30:03,132
2022-02-23 18:00:03,132
2022-02-23 18:30:03,132
2022-02-23 19:00:03,132
2022-02-23 19:30:03,131
2022-02-23 20:00:03,131
2022-02-23 20:30:03,131
2022-02-23 21:00:03,131
2022-02-23 21:30:03,131
2022-02-23 22:00:03,131
2022-02-23 22:30:03,131
2022-02-23 23:00:03,131
2022-02-23 23:30:03,131
2022-02-24 00:00:03,131
2022-02-24 00:30:03,131
2022-02-24 01:00:03,131
2022-02-24 01:30:03,131
2022-02-24 02:00:03,132
2022-02-24 02:30:03,131
2022-02-24 03:00:03,132
2022-02-24 03:30:03,131
2022-02-24 04:00:03,132
2022-02-24 04:30:03,131
2022-02-24 05:00:03,132
2022-02-24 05:30:03,132
2022-02-24 06:00:03,132
2022-02-24 06:30:03,132
2022-02-24 07:00:03,132
2022-02-24 07:30:03,131
2022-02-24 08:00:03,132
2022-02-24 08:30:03,132
2022-02-24 09:00:03,133
2022-02-24 09:30:03,133
2022-02-24 10:00:03,134
2022-02-24 10:30:03,134
2022-02-24 11:00:03,135
2022-02-24 11:30:03,134
2022-02-24 12:00:03,134
2022-02-24 12:30:03,135
2022-02-24 13:00:03,134
2022-02-24 13:30:03,134
2022-02-24 14:00:03,135
2022-02-24 14:30:03,135
2022-02-24 15:00:03,135
2022-02-24 15:30:03,135
2022-02-24 16:00:03,135
2022-02-24 16:30:03,135
2022-02-24 17:00:03,135
2022-02-24 17:30:03,136
2022-02-24 18:00:03,136
2022-02-24 18:30:03,136
2022-02-24 19:00:03,135
2022-02-24 19:30:03,136
2022-02-24 20:00:03,136
2022-02-24 20:30:03,136
2022-02-24 21:00:03,136
2022-02-24 21:30:03,136
2022-02-24 22:00:03,136
2022-02-24 22:30:03,136
2022-02-24 23:00:03,136
2022-02-24 23:30:03,136
2022-02-25 00:00:03,138
2022-02-25 00:30:03,137
2022-02-25 01:00:03,137
2022-02-25 01:30:03,137
2022-02-25 02:00:03,138
2022-02-25 02:30:03,139
2022-02-25 03:00:03,140
2022-02-25 03:30:03,140
2022-02-25 04:00:03,140
2022-02-25 04:30:03,140
2022-02-25 05:00:03,140
2022-02-25 05:30:03,140
2022-02-25 06:00:03,140
2022-02-25 06:30:03,139
2022-02-25 07:00:03,139
2022-02-25 07:30:03,139
2022-02-25 08:00:03,138
2022-02-25 08:30:03,138
2022-02-25 09:00:03,135
2022-02-25 09:30:03,137
2022-02-25 10:00:03,137
2022-02-25 10:30:03,137
2022-02-25 11:00:03,137
2022-02-25 11:30:03,137
2022-02-25 12:00:03,136
2022-02-25 12:30:03,136
2022-02-25 13:00:03,135
2022-02-25 13:30:03,135
2022-02-25 14:00:03,133
2022-02-25 14:30:03,134
2022-02-25 15:00:03,135
2022-02-25 15:30:03,134
