"Time","Mob BP1"
2022-02-18 21:00:03,0.943
2022-02-18 21:30:03,0.968
2022-02-18 22:00:03,0.815
2022-02-18 22:10:03,0.610
2022-02-18 22:30:03,0.503
2022-02-18 23:00:03,0.547
2022-02-18 23:30:03,0.583
2022-02-19 00:00:03,0.598
2022-02-19 00:30:03,0.674
2022-02-19 01:00:03,0.718
2022-02-19 01:30:03,0.774
2022-02-19 02:00:03,0.815
2022-02-19 02:30:03,0.793
2022-02-19 03:30:03,0.723
2022-02-19 04:00:03,0.820
2022-02-19 04:30:03,0.841
2022-02-19 05:00:03,0.787
2022-02-19 05:30:03,0.905
2022-02-19 06:00:03,0.872
2022-02-19 06:15:03,1.96
2022-02-19 06:20:03,2.43
2022-02-19 06:30:03,2.58
2022-02-19 07:00:03,2.32
2022-02-19 07:30:03,2.03
2022-02-19 08:00:03,1.86
2022-02-19 08:30:03,1.72
2022-02-19 09:00:03,1.60
2022-02-19 09:30:03,1.49
2022-02-19 10:00:03,1.40
2022-02-19 10:30:03,1.31
2022-02-19 11:00:03,1.28
2022-02-19 11:30:03,1.20
2022-02-19 12:00:03,1.12
2022-02-19 12:20:03,0.819
2022-02-19 12:25:03,0.619
2022-02-19 12:30:03,0.598
2022-02-19 12:40:03,0.443
2022-02-19 12:55:03,0.921
2022-02-19 13:00:03,1.01
2022-02-19 14:00:03,1.07
2022-02-19 14:30:03,1.07
2022-02-19 15:00:03,1.10
2022-02-19 15:30:03,0.998
2022-02-19 16:00:03,1.02
2022-02-19 16:30:03,0.930
2022-02-19 17:00:03,0.915
2022-02-19 17:30:03,0.825
2022-02-19 18:00:03,0.808
2022-02-19 18:30:03,0.644
2022-02-19 19:00:03,0.623
2022-02-19 19:30:03,0.612
2022-02-19 20:00:03,0.612
2022-02-19 20:30:03,0.745
2022-02-19 21:00:03,0.764
2022-02-19 21:30:03,0.779
2022-02-19 22:00:03,0.782
2022-02-19 22:30:03,0.782
2022-02-19 23:00:03,0.833
2022-02-19 23:30:03,0.834
2022-02-20 00:00:03,0.843
2022-02-20 00:30:03,0.853
2022-02-20 01:00:03,0.870
2022-02-20 01:30:03,0.880
2022-02-20 02:00:03,0.882
2022-02-20 02:30:03,0.885
2022-02-20 03:00:03,0.911
2022-02-20 03:15:03,0.656
2022-02-20 03:25:03,0.393
2022-02-20 03:30:03,0.286
2022-02-20 03:40:03,0.128
2022-02-20 04:00:03,0.238
2022-02-20 04:05:03,0.411
2022-02-20 04:25:03,0.242
2022-02-20 04:30:03,0.222
2022-02-20 05:00:03,0.188
2022-02-20 05:30:03,0.220
2022-02-20 06:00:03,0.160
2022-02-20 06:30:03,0.159
2022-02-20 07:00:03,0.138
2022-02-20 07:30:03,0.238
2022-02-20 07:35:03,0.763
2022-02-20 07:40:03,1.11
2022-02-20 08:00:03,1.24
2022-02-20 08:30:03,1.24
2022-02-20 09:00:03,1.24
2022-02-20 09:30:03,1.09
2022-02-20 10:00:03,1.03
2022-02-20 10:30:03,1.12
2022-02-20 10:35:03,1.40
2022-02-20 10:50:03,1.72
2022-02-20 10:55:03,2.33
2022-02-20 11:00:03,2.53
2022-02-20 11:30:03,2.30
2022-02-20 12:00:03,2.09
2022-02-20 12:30:03,1.92
2022-02-20 13:00:03,1.86
2022-02-20 13:30:03,1.79
2022-02-20 14:00:03,1.75
2022-02-20 14:30:03,1.69
2022-02-20 15:00:03,1.69
2022-02-20 15:30:03,1.62
2022-02-20 16:00:03,1.55
2022-02-20 16:30:03,1.49
2022-02-20 17:00:03,1.47
2022-02-20 17:30:03,1.42
2022-02-20 18:00:03,1.38
2022-02-20 18:30:03,1.34
2022-02-20 19:00:03,1.31
2022-02-20 19:30:03,1.30
2022-02-20 20:00:03,1.28
2022-02-20 20:30:03,1.26
2022-02-20 21:00:03,1.26
2022-02-20 21:30:03,1.24
2022-02-20 22:00:03,1.24
2022-02-20 22:30:03,1.23
2022-02-20 23:00:03,1.26
2022-02-21 00:00:03,1.23
2022-02-21 00:30:03,1.22
2022-02-21 01:00:03,1.29
2022-02-21 01:30:03,1.23
2022-02-21 02:00:03,1.25
2022-02-21 02:30:03,1.26
2022-02-21 03:00:03,1.26
2022-02-21 03:30:03,1.28
2022-02-21 04:00:03,1.24
2022-02-21 04:30:03,1.22
2022-02-21 05:00:03,1.23
2022-02-21 05:30:03,1.24
2022-02-21 06:00:03,1.05
2022-02-21 06:30:03,1.14
2022-02-21 07:00:03,1.23
2022-02-21 07:30:03,1.35
2022-02-21 08:00:03,1.30
2022-02-21 08:30:03,1.28
2022-02-21 08:45:03,2.23
2022-02-21 08:50:03,2.62
2022-02-21 08:55:03,3.12
2022-02-21 09:00:03,3.21
2022-02-21 09:10:03,2.69
2022-02-21 09:30:03,3.23
2022-02-21 09:40:03,2.00
2022-02-21 09:45:03,1.44
2022-02-21 10:00:03,1.31
2022-02-21 10:30:03,1.37
2022-02-21 11:00:03,1.36
2022-02-21 11:30:03,1.92
2022-02-21 11:40:03,2.51
2022-02-21 11:45:03,1.59
2022-02-21 12:00:03,1.39
2022-02-21 12:30:03,1.35
2022-02-21 13:00:03,1.36
2022-02-21 13:20:03,0.995
2022-02-21 13:30:03,1.30
2022-02-21 14:00:03,1.33
2022-02-21 14:30:03,1.31
2022-02-21 15:00:03,1.18
2022-02-21 15:30:03,1.21
2022-02-21 16:00:03,1.35
2022-02-21 16:30:03,1.30
2022-02-21 17:00:03,1.29
2022-02-21 17:30:03,1.30
2022-02-21 18:00:03,1.29
2022-02-21 18:30:03,1.30
2022-02-21 19:00:03,1.25
2022-02-21 19:30:03,1.26
2022-02-21 20:00:03,1.28
2022-02-21 20:30:03,1.29
2022-02-21 21:00:03,1.26
2022-02-21 21:30:03,1.26
